schema_version,query_id,query_text,cluster,intent,source_types,first_seen_at,last_measured_at,latest_wordstat_measurement_id,latest_serp_measurement_id,latest_alice_measurement_id,evidence_observation_ids,wordstat_status,wordstat_broad_30d,wordstat_broad_30d_status,wordstat_phrase_30d,wordstat_phrase_30d_status,wordstat_exact_30d,wordstat_exact_30d_status,wordstat_mobile_30d,wordstat_mobile_30d_status,wordstat_desktop_30d,wordstat_desktop_30d_status,wordstat_region,wordstat_dynamics_status,wordstat_related_status,serp_status,serp_measured_at,serp_region,serp_device,serp_top10_status,serp_marketplace_presence,serp_independent_presence,serp_info_presence,serp_product_block,alice_status,alice_input,alice_observed_at,alice_answer_present,alice_answer_status,alice_source_domains,alice_source_urls,alice_fanout_observed,alice_fanout_inferred,webmaster_search_status,webmaster_search_impressions,webmaster_search_clicks,webmaster_search_ctr,webmaster_avg_position,webmaster_landing_url,webmaster_alice_status,webmaster_alice_presence,webmaster_alice_sov,webmaster_alice_source_page,customer_evidence_status,marketplace_evidence_status,human_demand_H,alice_importance_A,commercial_value_C,owned_asset_value_O,page_job,target_cta,commerce_status,direct_orders,direct_revenue,direct_margin,ozon_outbound_clicks,wb_outbound_clicks,attributed_marketplace_sales,decision_status,decision_reason,notes
1.1,q_16798cf404fd,оберег в машину,automotive,commercial_research,SEED;WORDSTAT;SERP_QUERY;BROWSER_SERP;ALICE,2026-08-04,2026-08-26,,m_yandex_serp_20260826_6f75b1dc,m_alice_20260826_16798cf4_chat,,MEASURED,1405,MEASURED,96,MEASURED,,NOT_MEASURED,1297,MEASURED,100,MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,OBSERVED,MEASURED,оберег в машину,2026-08-26,YES,MEASURED,,,NOT_OBSERVED,NO,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_HIGH,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Query-native automotive protection/choice + commerce job; mobile/touch remains commerce-first but rich shopping block is not observed there.,"R1 final broad=1405 overrides older pilot 1388; exact final Wordstat measurement_id not backfilled. Desktop: large Popular products block. Touch/emulated-mobile: Livemaster, m.Avito, Happy Witch, Slavyarmarka, WB lead before ads; no rich product block/embedded Alice observed."
1.1,q_cc67e8b8507f,подвеска на зеркало в машину,automotive,commercial_research,SEED;WORDSTAT;SERP_QUERY;BROWSER_SERP;ALICE,2026-08-04,2026-08-26,,m_yandex_serp_20260826_4a7c4eb2,m_alice_20260826_cc67e8b8_chat,,MEASURED,1074,MEASURED,266,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,NO,NO,OBSERVED,MEASURED,подвеска на зеркало в машину,2026-08-26,YES,MEASURED,,,NOT_OBSERVED,NO,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_HIGH,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Near-pure transactional form-factor/decor job; symbolic products are only one branch.,R1 final broad=1074 overrides older pilot 973; exact final Wordstat measurement_id not backfilled. Desktop rich shopping block observed; Alice includes direct products.
1.1,q_67a951306107,вегвизир,norse_entity,commercial_research,WORDSTAT;SERP_QUERY;BROWSER_SERP;ALICE,2026-08-04,2026-08-26,,m_yandex_serp_20260826_3fb74d56,m_alice_20260826_67a95130_embedded,,MEASURED,5938,MEASURED,1541,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,NO,YES,NOT_MEASURED,MEASURED,вегвизир,2026-08-26,YES,MEASURED,,,NOT_OBSERVED,NO,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_HIGH,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Mixed entity + commercial base; separate meaning-first layer confirmed by `вегвизир значение`.,R1 final broad/quoted accepted; exact Wordstat measurement_id not backfilled. Alice preserves Huld 1860 / non-Viking-age correction.
1.1,q_bceef2201e2d,талисман знак зодиака,zodiac,informational,WORDSTAT;SERP_QUERY;BROWSER_SERP;ALICE,2026-08-04,2026-08-26,,m_yandex_serp_20260826_af98649b,m_alice_20260826_bceef220_embedded,,MEASURED,3422,MEASURED,21,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_OBSERVED,MEASURED,талисман знак зодиака,2026-08-26,YES,MEASURED,,,OBSERVED,NO,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_HIGH,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,High broad demand but heavily contaminated by stones/jewelry/zodiac selection; not clean pendant demand.,"R1 final broad=3422, quoted=21; exact Wordstat measurement_id not backfilled. Browser People-search is stone-oriented; Alice 30 sources + 3 fan-outs."
1.1,q_8d11f0813741,алатырь оберег,slavic_symbol,commercial_research,WORDSTAT;SERP_QUERY;BROWSER_SERP;ALICE,2026-08-04,2026-08-26,,m_yandex_serp_20260826_cedfa61b,m_alice_20260826_8d11f081_embedded,,MEASURED,1878,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,MEASURED,алатырь оберег,2026-08-26,YES,PARTIAL,,,NOT_OBSERVED,NO,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_HIGH,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Commercial-first named-symbol job with meaning support; specialist and marketplace competition coexist.,R1 final broad=1878; exact Wordstat measurement_id not backfilled. WB Search snippet directly exposed Blood & Sand marketplace product; Alice answer partial but sources captured.
1.1,q_19f41f3ff755,оберег велес,slavic_symbol,commercial_research,WORDSTAT;SERP_QUERY;ALICE,2026-08-04,2026-08-26,,m_yandex_serp_20260826_333632c7,m_alice_20260826_19f41f3f_chat,,MEASURED,1507,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,MEASURED,оберег велес,2026-08-26,YES,MEASURED,,,NOT_OBSERVED,NO,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_HIGH,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Commercial-first named-symbol family with strong niche independent competition and explanatory/suitability demand.,R1 final broad=1507; exact Wordstat measurement_id not backfilled. Alice includes 3 direct products and strong specialist-source representation.
1.1,q_b373158a2c50,подарок мужчине в машину,gift,commercial_research,WORDSTAT;SERP_QUERY;ALICE,2026-08-04,2026-08-26,,m_yandex_serp_20260826_bf569343,m_alice_20260826T0844Z_b373158a,,MEASURED,1070,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,MEASURED,подарок мужчине в машину,2026-08-26,YES,MEASURED,,,NOT_OBSERVED,NO,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_HIGH,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Broad gift-shopping job with weak default fit to pendant/amulet category.,R1 final current signal=1070; exact Wordstat measurement_id not backfilled. Clean Alice rerun excludes prior context-contaminated run and contains no organic symbolic category.
1.1,q_c2f45c10ecf5,подарок автомобилисту,gift,commercial_research,SEED;WORDSTAT;SERP_QUERY;BROWSER_SERP;ALICE,2026-08-04,2026-08-26,m_wordstat_20260810_81b917e1,m_yandex_serp_20260826_04b66634,m_alice_20260826_c2f45c10_serp,,MEASURED,1192,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,MEASURED,подарок автомобилисту,2026-08-26,YES,MEASURED,,,OBSERVED,NO,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_HIGH,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Broad gift idea-selection/shopping; pendant is a possible result but not the dominant query-native answer.,Wordstat 1192 is historical signal. Browser WB snippet contains wolf pendant as one option; Alice answer is broad practical gifts with no amulet category.
1.1,q_ddc00bf51857,печать велеса значение,meaning,informational,SEED;WORDSTAT;SERP_QUERY,2026-08-04,2026-08-26,m_wordstat_20260805_6660bfb5,m_search_20260826_ddc00bf5,,,MEASURED,617,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,NO,YES,YES,NOT_MEASURED,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_HIGH,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Distinct meaning-first Search job confirmed; specialist commerce survives without generic marketplace dominance.,Legacy Wordstat broad=617. Secondary Search A2: slavyanskieoberegi.ru #1/#7/#9/#10; no Yandex Market/Ozon/WB in Top-10.
1.1,q_f31b17922a59,оберег по знаку зодиака,zodiac,informational,WORDSTAT;SERP_QUERY,2026-08-26,2026-08-26,,m_search_20260826_f31b1792,,,MEASURED,710,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_HIGH,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Lexical narrowing did not clean the zodiac intent; stones/jewelry + marketplaces remain.,R1 final broad=710; exact Wordstat measurement_id not backfilled. Secondary A1 direct Search.
1.1,q_aa4ac349a92c,амулет в машину,automotive,commercial_research,WORDSTAT;SERP_QUERY,2026-08-26,2026-08-26,,m_search_20260826_aa4ac349,,,MEASURED,404,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_MEDIUM,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Lexical synonym collapses into existing `оберег в машину` cluster; not a separate job.,R1 final broad=404; exact Wordstat measurement_id not backfilled. Secondary A3 direct Search.
1.1,q_99eac125dfed,вегвизир значение,meaning,informational,SERP_QUERY,2026-08-26,2026-08-26,,m_search_20260826_99eac125,,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,NO,YES,YES,NOT_MEASURED,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Distinct meaning/history Search job confirmed in second symbol family.,Direct Wordstat count for this exact secondary not established in canonical R1; do not infer from base `вегвизир` volume.
1.1,q_136048babfad,шлем ужаса оберег,norse_symbol,commercial_research,WORDSTAT;SERP_QUERY,2026-08-26,2026-08-26,,m_search_20260826_136048ba,,,MEASURED,474,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_MEASURED,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_MEDIUM,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Coherent adjacent named-symbol commercial lane with supporting meaning/history layer.,R1 final broad=474; exact Wordstat measurement_id not backfilled. Secondary B2 direct Search.
